classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cdbox,fourier_real,99.83760961351089%,99.87004548408058%,99.81815820236395%,1.5600929260253906s,cd_box_fourier_real_08-01-2023_15-27-54.pickle
cdbox,fourier_zcurve,99.73770491803278%,100.0%,99.58098729867748%,1.4373021125793457s,cd_box_fourier_zcurve_08-01-2023_15-27-54.pickle
cdbox,entropy_shannon,93.36702463676563%,96.28664495114006%,91.69872192579724%,0.9946422576904297s,cd_box_entropy_shannon_08-01-2023_15-27-54.pickle
cdbox,entropy_tsallis,91.47530670022019%,94.29312581063553%,89.86402966625462%,0.9662716388702393s,cd_box_entropy_tsallis_08-01-2023_15-27-54.pickle
cdbox,complex,99.9029440310579%,99.93527508090615%,99.88355544054859%,1.863412857055664s,cd_box_complex_08-01-2023_15-27-54.pickle
hacabox,fourier_real,99.61190168175938%,99.87029831387808%,99.45750452079567%,2.208847999572754s,haca_box_fourier_real_08-01-2023_15-28-01.pickle
hacabox,fourier_zcurve,99.6401701014066%,99.73804846103471%,99.5815352425788%,2.135751962661743s,haca_box_fourier_zcurve_08-01-2023_15-28-01.pickle
hacabox,entropy_shannon,90.23809523809524%,96.99296225207934%,86.61867215175405%,0.9297869205474854s,haca_box_entropy_shannon_08-01-2023_15-28-01.pickle
hacabox,entropy_tsallis,89.60807600950119%,98.3702737940026%,85.06200676437427%,0.9065060615539551s,haca_box_entropy_tsallis_08-01-2023_15-28-01.pickle
hacabox,complex,99.65046075627582%,100.0%,99.44190766108575%,2.9892866611480713s,haca_box_complex_08-01-2023_15-28-01.pickle
