classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,98.14612868047982%,98.0392156862745%,98.21038847664776%,98.65690895333255%,98.60163501137133%,1.8534791469573975s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 949, 'fp': 8, 'fn': 9, 'tp': 450}"
cd_box,fourier_real,98.24561403508773%,96.94501018329939%,99.04286308780692%,98.99122141831191%,98.36439698354158%,0.5483975410461426s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 923, 'fp': 2, 'fn': 15, 'tp': 476}"
cd_box,fourier_real,98.90590809628009%,98.26086956521739%,99.29701230228471%,99.36393526701896%,99.02583227214845%,0.5304670333862305s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 954, 'fp': 2, 'fn': 8, 'tp': 452}"
cd_box,fourier_real,97.9370249728556%,97.61904761904762%,98.12880765883375%,98.55382766133273%,98.39023659778377%,0.5225427150726318s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 946, 'fp': 8, 'fn': 11, 'tp': 451}"
cd_box,fourier_real,98.34254143646407%,98.66962305986696%,98.14733127481254%,98.69696026083692%,98.86849028641016%,0.5772454738616943s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 956, 'fp': 9, 'fn': 6, 'tp': 445}"
cd_box,fourier_zcurve,98.74213836477988%,98.74213836477988%,98.74213836477988%,99.05158036449858%,99.05158036449858%,0.5810091495513916s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 933, 'fp': 6, 'fn': 6, 'tp': 471}"
cd_box,fourier_zcurve,98.60365198711062%,98.92241379310344%,98.41337907375643%,98.88003375580742%,99.04103882932483%,0.5545637607574463s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 944, 'fp': 8, 'fn': 5, 'tp': 459}"
cd_box,fourier_zcurve,98.86363636363636%,98.41628959276018%,99.13400182315407%,99.29966103594138%,99.05414068960391%,0.5457079410552979s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 971, 'fp': 3, 'fn': 7, 'tp': 435}"
cd_box,fourier_zcurve,99.44994499449945%,99.12280701754386%,99.64726631393297%,99.68194040422796%,99.5093201754386%,0.5910537242889404s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 959, 'fp': 1, 'fn': 4, 'tp': 452}"
cd_box,fourier_zcurve,98.65284974093265%,98.55072463768117%,98.71422646204896%,99.00286102694875%,98.95381891048044%,0.5692777633666992s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 927, 'fp': 6, 'fn': 7, 'tp': 476}"
