classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,98.36779107725789%,98.26086956521739%,98.43205574912892%,98.8194999351186%,98.76432599599781%,0.7679834365844727s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 949, 'fp': 7, 'fn': 8, 'tp': 452}"
cd_box,fourier_real,98.7012987012987%,98.27586206896551%,98.95833333333334%,99.14680734946334%,98.92784700086932%,0.6227807998657227s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 948, 'fp': 4, 'fn': 8, 'tp': 456}"
cd_box,fourier_real,98.5655737704918%,97.76422764227642%,99.05271828665566%,99.09995388926329%,98.71977615880053%,0.7009015083312988s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 921, 'fp': 3, 'fn': 11, 'tp': 481}"
cd_box,fourier_real,98.24561403508771%,97.94238683127571%,98.42845326716296%,98.73945663824037%,98.59484932961635%,0.8013091087341309s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 923, 'fp': 7, 'fn': 10, 'tp': 476}"
cd_box,fourier_real,99.12663755458516%,99.34354485776805%,98.99694723070212%,99.29859787871958%,99.41108421199144%,0.6727955341339111s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 954, 'fp': 5, 'fn': 3, 'tp': 454}"
cd_box,fourier_zcurve,98.58233369683751%,98.0477223427332%,98.90590809628007%,99.09265350877192%,98.81443708759696%,0.5434703826904297s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 951, 'fp': 4, 'fn': 9, 'tp': 452}"
cd_box,fourier_zcurve,98.59762675296656%,98.27956989247312%,98.78945092952875%,99.03958724713442%,98.87690376852889%,0.543642520904541s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 946, 'fp': 5, 'fn': 8, 'tp': 457}"
cd_box,fourier_zcurve,99.12087912087912%,98.47161572052401%,99.51456310679612%,99.52630999155436%,99.18361579345616%,0.6103477478027344s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 957, 'fp': 1, 'fn': 7, 'tp': 451}"
cd_box,fourier_zcurve,97.92802617230097%,97.60869565217392%,98.12062937062937%,98.55121239986036%,98.38593778424595%,0.5825967788696289s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 948, 'fp': 8, 'fn': 11, 'tp': 449}"
cd_box,fourier_zcurve,98.64864864864865%,98.42696629213484%,98.78213802435724%,99.07595368400538%,98.95601661671624%,0.50858473777771s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 966, 'fp': 5, 'fn': 7, 'tp': 438}"
cd_box,entropy_shannon,81.44796380090499%,76.92307692307693%,84.42776735459661%,87.86923076923077%,85.50795196364818%,0.43896055221557617s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 892, 'fp': 56, 'fn': 108, 'tp': 360}"
cd_box,entropy_shannon,78.09734513274337%,72.63374485596708%,81.78869323447636%,85.56155372946851%,82.82224877206956%,0.341707706451416s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 865, 'fp': 65, 'fn': 133, 'tp': 353}"
cd_box,entropy_shannon,79.47310647639956%,73.72708757637476%,83.37171810225705%,86.61933448078028%,83.72840865305223%,0.3638875484466553s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 867, 'fp': 58, 'fn': 129, 'tp': 362}"
cd_box,entropy_shannon,81.0185185185185%,77.9510022271715%,82.97771455666192%,87.22361975374025%,85.61459108256196%,0.3732781410217285s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 902, 'fp': 65, 'fn': 99, 'tp': 350}"
cd_box,entropy_shannon,82.98109010011122%,79.36170212765957%,85.31564501372368%,88.55931302739813%,86.72102019702218%,0.3964977264404297s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 890, 'fp': 56, 'fn': 97, 'tp': 373}"
cd_box,entropy_tsallis,79.91675338189387%,78.68852459016394%,80.67226890756302%,85.07765016063618%,84.54900367439231%,0.352553129196167s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 839, 'fp': 89, 'fn': 104, 'tp': 384}"
cd_box,entropy_tsallis,81.90279214064115%,81.64948453608247%,82.0555325321177%,86.31438421281776%,86.20605268694564%,0.3348841667175293s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 845, 'fp': 86, 'fn': 89, 'tp': 396}"
cd_box,entropy_tsallis,80.04362050163577%,78.08510638297872%,81.26660761736049%,85.73669665676232%,84.8142233817642%,0.4086284637451172s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 866, 'fp': 80, 'fn': 103, 'tp': 367}"
cd_box,entropy_tsallis,79.95570321151716%,77.96976241900649%,81.19658119658119%,85.7973174366617%,84.84007533332276%,0.37381434440612793s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 874, 'fp': 79, 'fn': 102, 'tp': 361}"
cd_box,entropy_tsallis,79.39914163090128%,78.72340425531915%,79.81018119068163%,84.80219989653952%,84.49912284647564%,0.39106273651123047s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 854, 'fp': 92, 'fn': 100, 'tp': 370}"
cd_box,complex,99.67707212055974%,99.35622317596567%,99.87057808455565%,99.84260230849948%,99.67811158798283%,0.5722880363464355s,"{'class': 'cd_box', 'method': 'complex', 'tn': 950, 'fp': 0, 'fn': 3, 'tp': 463}"
