classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.90590809628009%,98.0477223427332%,99.42806863176419%,99.42233500443565%,98.97150515042419%,0.6198005676269531s,cd_box_fourier_real_15-05-2023_14-23-48.pickle
cd_box,fourier_zcurve,99.06542056074767%,98.55371900826447%,99.375%,99.41769918208291%,99.16956336679317%,0.6126284599304199s,cd_box_fourier_zcurve_15-05-2023_14-23-48.pickle
cd_box,entropy_shannon,79.49308755760369%,74.51403887688986%,82.8132501200192%,86.75678646005056%,84.10906560843443%,0.33228397369384766s,cd_box_entropy_shannon_15-05-2023_14-23-48.pickle
cd_box,entropy_tsallis,81.10497237569061%,79.78260869565217%,81.91964285714286%,86.44707761024775%,85.81180643987629%,0.3543426990509033s,cd_box_entropy_tsallis_15-05-2023_14-23-48.pickle
cd_box,complex,99.68253968253968%,99.36708860759494%,99.87277353689568%,99.84126984126985%,99.68354430379746%,0.6142675876617432s,cd_box_complex_15-05-2023_14-23-48.pickle
haca_box,fourier_real,96.09984399375976%,93.61702127659575%,97.65377298668358%,98.2443246774457%,96.59229442208166%,0.568596363067627s,haca_box_fourier_real_15-05-2023_14-23-50.pickle
haca_box,fourier_zcurve,98.33333333333333%,96.72131147540983%,99.32659932659934%,99.47862356621481%,98.36065573770492%,0.6238880157470703s,haca_box_fourier_zcurve_15-05-2023_14-23-50.pickle
haca_box,entropy_shannon,45.98698481561822%,35.45150501672241%,55.966209081309394%,73.87905304571971%,64.79381533558633%,0.34862303733825684s,haca_box_entropy_shannon_15-05-2023_14-23-50.pickle
haca_box,entropy_tsallis,55.072463768115945%,49.673202614379086%,58.91472868217055%,73.25542005420054%,69.87879540001654%,0.322629451751709s,haca_box_entropy_tsallis_15-05-2023_14-23-50.pickle
haca_box,complex,97.28867623604465%,95.3125%,98.51421188630492%,98.88229244416623%,97.54918361884368%,0.6803514957427979s,haca_box_complex_15-05-2023_14-23-50.pickle
