classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cdbox,fourier_real,99.68999836841247%,99.93457638207393%,99.54382535027698%,<function precision_score at 0x7f6b42e427a0>,98.0741924226628%,1.1707780361175537s,cd_box_fourier_real_10-05-2023_21-45-39.pickle
cdbox,fourier_zcurve,99.86906710310966%,99.83638743455498%,99.88868517548455%,<function precision_score at 0x7f6b42e427a0>,99.58486038394415%,1.1772732734680176s,cd_box_fourier_zcurve_10-05-2023_21-45-39.pickle
cdbox,entropy_shannon,96.01670414391263%,98.54929113089351%,94.5586839607719%,<function precision_score at 0x7f6b42e427a0>,77.71016353584844%,0.5761551856994629s,cd_box_entropy_shannon_10-05-2023_21-45-39.pickle
cdbox,entropy_tsallis,95.037738879075%,97.94769943727243%,93.37330388135058%,<function precision_score at 0x7f6b42e427a0>,73.50993219286302%,0.634984016418457s,cd_box_entropy_tsallis_10-05-2023_21-45-39.pickle
cdbox,complex,99.900760833609%,99.933818663137%,99.88093663182963%,<function precision_score at 0x7f6b42e427a0>,99.55368619107263%,1.713299036026001s,cd_box_complex_10-05-2023_21-45-39.pickle
hacabox,fourier_real,99.54098360655738%,99.83558040118382%,99.36505858480068%,<function precision_score at 0x7f6b42e427a0>,96.12241066263812%,1.472109079360962s,haca_box_fourier_real_10-05-2023_21-45-45.pickle
hacabox,fourier_zcurve,99.55686853766618%,99.83541803818301%,99.3904836806921%,<function precision_score at 0x7f6b42e427a0>,96.32293777726146%,1.5152292251586914s,haca_box_fourier_zcurve_10-05-2023_21-45-45.pickle
hacabox,entropy_shannon,95.48102660998269%,99.57307060755338%,93.18335484664084%,<function precision_score at 0x7f6b42e427a0>,53.96713731046565%,0.5797326564788818s,haca_box_entropy_shannon_10-05-2023_21-45-45.pickle
hacabox,entropy_tsallis,95.56882463859209%,99.70491803278688%,93.24788421439962%,<function precision_score at 0x7f6b42e427a0>,53.42388758782201%,0.5455996990203857s,haca_box_entropy_tsallis_10-05-2023_21-45-45.pickle
hacabox,complex,99.75357318876294%,99.83558040118382%,99.70443349753695%,<function precision_score at 0x7f6b42e427a0>,98.26762518409026%,2.0465822219848633s,haca_box_complex_10-05-2023_21-45-45.pickle
