classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.17351598173516%,97.28506787330316%,98.71441689623508%,98.92817254357233%,98.43719512761669%,0.6494476795196533s,cd_box_fourier_real_12-05-2023_16-32-38.pickle
cd_box,fourier_zcurve,98.1941309255079%,96.88195991091314%,98.99863450159307%,99.05615172629803%,98.33756733911738%,0.5799505710601807s,cd_box_fourier_zcurve_12-05-2023_16-32-38.pickle
cd_box,entropy_shannon,78.25112107623319%,73.9406779661017%,81.08736059479554%,85.37292025243832%,83.20974576271186%,0.34578371047973633s,cd_box_entropy_shannon_12-05-2023_16-32-38.pickle
cd_box,entropy_tsallis,81.29175946547885%,78.83369330453563%,82.8415796640944%,86.95911982846496%,85.7442338505889%,0.37683773040771484s,cd_box_entropy_tsallis_12-05-2023_16-32-38.pickle
cd_box,complex,99.31972789115646%,99.09502262443439%,99.45504087193461%,99.5678092399404%,99.44484190769974%,0.6156623363494873s,cd_box_complex_12-05-2023_16-32-38.pickle
haca_box,fourier_real,96.71848013816926%,94.5945945945946%,98.03921568627452%,98.64607177038717%,97.14072109687977%,0.6234629154205322s,haca_box_fourier_real_12-05-2023_16-32-41.pickle
haca_box,fourier_zcurve,97.66606822262118%,96.45390070921985%,98.4081041968162%,98.9438202247191%,98.07262936695561%,0.6180565357208252s,haca_box_fourier_zcurve_12-05-2023_16-32-41.pickle
haca_box,entropy_shannon,38.15789473684211%,29.794520547945208%,45.88607594936708%,67.12072051913181%,60.895181271893605%,0.33623552322387695s,haca_box_entropy_shannon_12-05-2023_16-32-41.pickle
haca_box,entropy_tsallis,50.19607843137255%,44.13793103448276%,54.7008547008547%,71.25725338491296%,67.29718128487623%,0.35645484924316406s,haca_box_entropy_tsallis_12-05-2023_16-32-41.pickle
haca_box,complex,97.88519637462237%,96.14243323442136%,98.96151496640196%,99.14647677403329%,98.01669099016597%,0.7231593132019043s,haca_box_complex_12-05-2023_16-32-41.pickle
