classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.5854189336235%,98.47826086956522%,98.64982578397213%,98.98067900096298%,98.92532290340185%,0.5724136829376221s,cd_box_fourier_real_15-05-2023_14-26-15.pickle
cd_box,fourier_zcurve,98.57723577235772%,98.9795918367347%,98.3373884833739%,98.81791915129054%,99.00383479525719%,0.48583388328552246s,cd_box_fourier_zcurve_15-05-2023_14-26-15.pickle
cd_box,entropy_shannon,81.46503884572697%,79.09482758620689%,82.95660036166367%,87.03681195260657%,85.87094320486815%,0.30397939682006836s,cd_box_entropy_shannon_15-05-2023_14-26-15.pickle
cd_box,entropy_tsallis,80.70539419087137%,79.87679671457906%,81.21085594989562%,85.55736398282664%,85.20212279216575%,0.3152151107788086s,cd_box_entropy_tsallis_15-05-2023_14-26-15.pickle
cd_box,complex,99.38650306748467%,98.98167006109979%,99.63099630996311%,99.62822402928234%,99.43678097649584%,0.5185904502868652s,cd_box_complex_15-05-2023_14-26-15.pickle
haca_box,fourier_real,95.51282051282051%,92.83489096573209%,97.19504240052186%,97.96566407429387%,96.14949264256593%,0.5367357730865479s,haca_box_fourier_real_15-05-2023_14-26-18.pickle
haca_box,fourier_zcurve,96.66136724960255%,95.29780564263322%,97.49839640795382%,98.23776653909239%,97.32804720634336%,0.5251014232635498s,haca_box_fourier_zcurve_15-05-2023_14-26-18.pickle
haca_box,entropy_shannon,41.55339805825243%,33.0246913580247%,49.17279411764705%,67.80350977427314%,61.99621664675428%,0.2869851589202881s,haca_box_entropy_shannon_15-05-2023_14-26-18.pickle
haca_box,entropy_tsallis,57.250470809792844%,49.19093851132686%,63.49206349206349%,76.62764508694741%,70.89176555195972%,0.28803515434265137s,haca_box_entropy_tsallis_15-05-2023_14-26-18.pickle
haca_box,complex,98.29931972789116%,96.65551839464884%,99.31271477663229%,99.48186528497409%,98.32775919732441%,0.6351265907287598s,haca_box_complex_15-05-2023_14-26-18.pickle
