classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo
haca_box,entropy_shannon,41.37931034482759%,29.80132450331126%,53.956834532374096%,74.37874346884159%,62.6422588903111%,0.4130105972290039s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 909, 'fp': 43, 'fn': 212, 'tp': 90}",haca_box_entropy_shannon_28-05-2023_14-05-55.pickle
haca_box,entropy_tsallis,52.71028037383177%,44.904458598726116%,58.848080133555925%,73.52678356322795%,68.19691015042689%,0.38929224014282227s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 860, 'fp': 80, 'fn': 173, 'tp': 141}",haca_box_entropy_tsallis_28-05-2023_14-05-55.pickle
haca_box,complex,97.38562091503267%,95.81993569131832%,98.34983498349837%,98.81960446639917%,97.75090103759977%,0.845977783203125s,"{'class': 'haca_box', 'method': 'complex', 'tn': 940, 'fp': 3, 'fn': 13, 'tp': 298}",haca_box_complex_28-05-2023_14-05-55.pickle
haca_box,fourier_real,95.72649572649573%,93.02325581395348%,97.42519137091162%,98.2133004210832%,96.30176431830938%,0.7089650630950928s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 949, 'fp': 4, 'fn': 21, 'tp': 280}",haca_box_fourier_real_28-05-2023_14-05-55.pickle
haca_box,fourier_zcurve,97.28%,96.20253164556962%,97.93814432989693%,98.55601787640622%,97.83474130252895%,0.696467399597168s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 933, 'fp': 5, 'fn': 12, 'tp': 304}",haca_box_fourier_zcurve_28-05-2023_14-05-55.pickle
haca_box,entropy_shannon,39.73214285714286%,29.666666666666668%,49.88789237668161%,70.52868872489125%,61.74109014675052%,0.3833329677581787s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 895, 'fp': 59, 'fn': 211, 'tp': 89}",haca_box_entropy_shannon_28-05-2023_14-05-55.pickle
haca_box,entropy_tsallis,57.03275529865125%,51.21107266435986%,61.207609594706355%,75.28914741847825%,71.35683166896749%,0.39330053329467773s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 883, 'fp': 82, 'fn': 141, 'tp': 148}",haca_box_entropy_tsallis_28-05-2023_14-05-55.pickle
haca_box,complex,96.45868465430016%,93.15960912052117%,98.55272226050998%,98.91528925619835%,96.57980456026058%,0.7750413417816162s,"{'class': 'haca_box', 'method': 'complex', 'tn': 947, 'fp': 0, 'fn': 21, 'tp': 286}",haca_box_complex_28-05-2023_14-05-55.pickle
haca_box,fourier_real,96.32%,94.95268138801262%,97.15945771465464%,98.01797040169133%,97.1028081433126%,0.6079616546630859s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 930, 'fp': 7, 'fn': 16, 'tp': 301}",haca_box_fourier_real_28-05-2023_14-05-55.pickle
haca_box,fourier_zcurve,96.25850340136053%,95.28619528619528%,96.85147159479807%,97.89853443384612%,97.22512481133171%,0.6453938484191895s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 949, 'fp': 8, 'fn': 14, 'tp': 283}",haca_box_fourier_zcurve_28-05-2023_14-05-55.pickle
