classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 7),desvio_padrao_hacabox (n = 7)
cd_box,fourier_real,98.18956336528221%,97.46300211416491%,98.63072314933676%,98.8319403659363%,98.46638971031683%,0.837597131729126s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 938, 'fp': 5, 'fn': 12, 'tp': 461}",cd_box_fourier_real_19-05-2023_10-02-02.pickle,,
cd_box,fourier_zcurve,98.4971098265896%,97.70642201834863%,98.97769516728624%,99.14376403738106%,98.70014978468451%,0.5563638210296631s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 977, 'fp': 3, 'fn': 10, 'tp': 426}",cd_box_fourier_zcurve_19-05-2023_10-02-02.pickle,,
cd_box,entropy_shannon,79.15273132664437%,77.00650759219089%,80.49886621315193%,85.30284590900581%,84.26241609976037%,0.3419797420501709s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 874, 'fp': 81, 'fn': 106, 'tp': 355}",cd_box_entropy_shannon_19-05-2023_10-02-02.pickle,,
cd_box,entropy_tsallis,78.84615384615384%,76.55601659751036%,80.28720626631853%,84.76558564664292%,83.72768709961171%,0.3367273807525635s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 849, 'fp': 85, 'fn': 113, 'tp': 369}",cd_box_entropy_tsallis_19-05-2023_10-02-02.pickle,,
cd_box,complex,99.47643979057591%,98.95833333333334%,99.78991596638654%,99.73432518597237%,99.47916666666667%,0.6766107082366943s,"{'class': 'cd_box', 'method': 'complex', 'tn': 936, 'fp': 0, 'fn': 5, 'tp': 475}",cd_box_complex_19-05-2023_10-02-02.pickle,,
cd_box,fourier_real,98.3640081799591%,96.9758064516129%,99.21617161716172%,99.0932677014936%,98.43355539971948%,0.53275465965271s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 919, 'fp': 1, 'fn': 15, 'tp': 481}",cd_box_fourier_real_19-05-2023_10-02-02.pickle,,
cd_box,fourier_zcurve,98.8235294117647%,98.08917197452229%,99.26944563816073%,99.31179368299044%,98.93876588144104%,0.5752546787261963s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 943, 'fp': 2, 'fn': 9, 'tp': 462}",cd_box_fourier_zcurve_19-05-2023_10-02-02.pickle,,
cd_box,entropy_shannon,78.53042479908152%,74.34782608695653%,81.27376425855513%,85.73519264988924%,83.5651264325996%,0.33156585693359375s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 887, 'fp': 69, 'fn': 118, 'tp': 342}",cd_box_entropy_shannon_19-05-2023_10-02-02.pickle,,
cd_box,entropy_tsallis,80.78175895765473%,80.34557235421165%,81.04575163398692%,85.86187563245845%,85.66071902075745%,0.33176612854003906s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 867, 'fp': 86, 'fn': 91, 'tp': 372}",cd_box_entropy_tsallis_19-05-2023_10-02-02.pickle,,
cd_box,complex,99.79674796747969%,99.59432048681542%,99.91859991859994%,99.89189189189189%,99.7971602434077%,0.6116368770599365s,"{'class': 'cd_box', 'method': 'complex', 'tn': 923, 'fp': 0, 'fn': 2, 'tp': 491}",cd_box_complex_19-05-2023_10-02-02.pickle,,
cd_box,fourier_real,98.34710743801652%,97.94238683127571%,98.59154929577466%,98.84226145521427%,98.64861277047656%,0.5685513019561768s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 924, 'fp': 6, 'fn': 10, 'tp': 476}",cd_box_fourier_real_19-05-2023_10-02-02.pickle,,
