classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 8),desvio_padrao_hacabox (n = 8)
cd_box,fourier_real,98.2532751091703%,96.98275862068965%,99.03169014084509%,99.05261998310873%,98.3863372935381%,0.6786129474639893s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 950, 'fp': 2, 'fn': 14, 'tp': 450}",cd_box_fourier_real_19-05-2023_09-59-08.pickle,,
cd_box,fourier_zcurve,99.46409431939979%,99.57081545064378%,99.40017137960582%,99.57342677855424%,99.62751298847978%,0.5700027942657471s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 947, 'fp': 3, 'fn': 2, 'tp': 464}",cd_box_fourier_zcurve_19-05-2023_09-59-08.pickle,,
cd_box,entropy_shannon,81.42380422691879%,81.87919463087249%,81.15299334811532%,86.28548085043882%,86.50203281595223%,0.3575327396392822s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 883, 'fp': 86, 'fn': 81, 'tp': 366}",cd_box_entropy_shannon_19-05-2023_09-59-08.pickle,,
cd_box,entropy_tsallis,80.79748163693597%,79.38144329896907%,81.67161646160372%,85.8582170291031%,85.23314914679924%,0.35536789894104004s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 848, 'fp': 83, 'fn': 100, 'tp': 385}",cd_box_entropy_tsallis_19-05-2023_09-59-08.pickle,,
cd_box,complex,99.58246346555325%,99.16839916839916%,99.83256592716619%,99.78700745473908%,99.58419958419958%,0.5653471946716309s,"{'class': 'cd_box', 'method': 'complex', 'tn': 935, 'fp': 0, 'fn': 4, 'tp': 477}",cd_box_complex_19-05-2023_09-59-08.pickle,,
cd_box,fourier_real,98.11715481171548%,97.5051975051975%,98.4880302393952%,98.73080149896526%,98.43174313762549%,0.522005558013916s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 929, 'fp': 6, 'fn': 12, 'tp': 469}",cd_box_fourier_real_19-05-2023_09-59-08.pickle,,
cd_box,fourier_zcurve,98.82604055496266%,98.93162393162393%,98.7627986348123%,99.0963495991156%,99.14935626960943%,0.5880343914031982s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 942, 'fp': 6, 'fn': 5, 'tp': 463}",cd_box_fourier_zcurve_19-05-2023_09-59-08.pickle,,
cd_box,entropy_shannon,78.95335608646188%,74.78448275862068%,81.68549905838042%,85.96307307150681%,83.82081280788178%,0.4041860103607178s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 884, 'fp': 68, 'fn': 117, 'tp': 347}",cd_box_entropy_shannon_19-05-2023_09-59-08.pickle,,
cd_box,entropy_tsallis,79.95689655172413%,78.93617021276596%,80.58210251954822%,85.33516879233483%,84.86977643830687%,0.511852502822876s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 859, 'fp': 87, 'fn': 99, 'tp': 371}",cd_box_entropy_tsallis_19-05-2023_09-59-08.pickle,,
cd_box,complex,100.0%,100.0%,100.0%,100.0%,100.0%,0.7481269836425781s,"{'class': 'cd_box', 'method': 'complex', 'tn': 963, 'fp': 0, 'fn': 0, 'tp': 453}",cd_box_complex_19-05-2023_09-59-08.pickle,,
cd_box,fourier_real,98.39572192513369%,98.29059829059828%,98.45890410958904%,98.8290390199985%,98.77610083306287%,0.7507362365722656s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 941, 'fp': 7, 'fn': 8, 'tp': 460}",cd_box_fourier_real_19-05-2023_09-59-08.pickle,,
cd_box,fourier_zcurve,97.7635782747604%,97.04016913319239%,98.2028241335045%,98.51208493336345%,98.14892868112432%,0.6002717018127441s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 936, 'fp': 7, 'fn': 14, 'tp': 459}",cd_box_fourier_zcurve_19-05-2023_09-59-08.pickle,,
cd_box,entropy_shannon,78.73831775700936%,73.7417943107221%,82.07501217730152%,86.3308714263535%,83.63836326589285%,0.37383604049682617s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 897, 'fp': 62, 'fn': 120, 'tp': 337}",cd_box_entropy_shannon_19-05-2023_09-59-08.pickle,,
cd_box,entropy_tsallis,79.957805907173%,80.81023454157783%,79.45492662473795%,84.759025272769%,85.12528622538237%,0.4271407127380371s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 847, 'fp': 100, 'fn': 90, 'tp': 379}",cd_box_entropy_tsallis_19-05-2023_09-59-08.pickle,,
cd_box,complex,99.34497816593885%,98.91304347826086%,99.6059544658494%,99.62993421052632%,99.4042204839003%,0.7511074542999268s,"{'class': 'cd_box', 'method': 'complex', 'tn': 955, 'fp': 1, 'fn': 5, 'tp': 455}",cd_box_complex_19-05-2023_09-59-08.pickle,,
cd_box,fourier_real,98.15418023887078%,96.99570815450643%,98.86264216972877%,98.94192176190096%,98.33995934041111%,0.6927874088287354s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 947, 'fp': 3, 'fn': 14, 'tp': 452}",cd_box_fourier_real_19-05-2023_09-59-08.pickle,,
