classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 9),desvio_padrao_hacabox (n = 9)
cd_box,fourier_real,98.44444444444444%,97.57709251101322%,98.97229669347631%,99.0966668207665%,98.63262109958146%,0.6630821228027344s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 959, 'fp': 3, 'fn': 11, 'tp': 443}",cd_box_fourier_real_19-05-2023_10-01-44.pickle,,
cd_box,fourier_zcurve,98.64724245577523%,98.75%,98.58569051580697%,98.951493657376%,99.00106837606837%,0.5288643836975098s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 929, 'fp': 7, 'fn': 6, 'tp': 474}",cd_box_fourier_zcurve_19-05-2023_10-01-44.pickle,,
cd_box,entropy_shannon,80.58035714285715%,77.80172413793103%,82.3448905109489%,86.54866757000903%,85.17187047232687%,0.31943321228027344s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 881, 'fp': 71, 'fn': 103, 'tp': 361}",cd_box_entropy_shannon_19-05-2023_10-01-44.pickle,,
cd_box,entropy_tsallis,79.2332268370607%,78.15126050420169%,79.89690721649485%,84.7163328717543%,84.23520472018595%,0.3331313133239746s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 849, 'fp': 91, 'fn': 104, 'tp': 372}",cd_box_entropy_tsallis_19-05-2023_10-01-44.pickle,,
cd_box,complex,99.7787610619469%,100.0%,99.6464869642068%,99.77924944812362%,99.89637305699482%,0.5847005844116211s,"{'class': 'cd_box', 'method': 'complex', 'tn': 963, 'fp': 2, 'fn': 0, 'tp': 451}",cd_box_complex_19-05-2023_10-01-44.pickle,,
cd_box,fourier_real,98.3640081799591%,97.76422764227642%,98.72742200328408%,98.89419885835656%,98.61155105057544%,0.5005149841308594s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 919, 'fp': 5, 'fn': 11, 'tp': 481}",cd_box_fourier_real_19-05-2023_10-01-44.pickle,,
cd_box,fourier_zcurve,99.10514541387023%,98.44444444444444%,99.50584007187783%,99.52730508286064%,99.17046238785369%,0.516185998916626s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 965, 'fp': 1, 'fn': 7, 'tp': 443}",cd_box_fourier_zcurve_19-05-2023_10-01-44.pickle,,
cd_box,entropy_shannon,81.40276301806588%,76.6%,84.58480565371025%,87.42403628117914%,85.13406113537117%,0.3116321563720703s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 858, 'fp': 58, 'fn': 117, 'tp': 383}",cd_box_entropy_shannon_19-05-2023_10-01-44.pickle,,
cd_box,entropy_tsallis,82.4634655532359%,80.12170385395537%,83.93540161495963%,87.32064719649944%,86.26886926175557%,0.323561429977417s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 853, 'fp': 70, 'fn': 98, 'tp': 395}",cd_box_entropy_tsallis_19-05-2023_10-01-44.pickle,,
cd_box,complex,99.66996699669967%,99.3421052631579%,99.86772486772486%,99.84423676012462%,99.67105263157895%,0.5406334400177002s,"{'class': 'cd_box', 'method': 'complex', 'tn': 960, 'fp': 0, 'fn': 3, 'tp': 453}",cd_box_complex_19-05-2023_10-01-44.pickle,,
cd_box,fourier_real,98.33518312985574%,97.14912280701753%,99.06082289803221%,99.10586792256333%,98.47039473684211%,0.559814453125s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 958, 'fp': 2, 'fn': 13, 'tp': 443}",cd_box_fourier_real_19-05-2023_10-01-44.pickle,,
cd_box,fourier_zcurve,98.48637739656913%,97.99196787148594%,98.78542510121456%,98.95118879920183%,98.72365278105887%,0.5290966033935547s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 913, 'fp': 5, 'fn': 10, 'tp': 488}",cd_box_fourier_zcurve_19-05-2023_10-01-44.pickle,,
