classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 6),desvio_padrao_hacabox (n = 6)
cd_box,fourier_real,98.7012987012987%,97.64453961456103%,99.34640522875817%,99.3170767324643%,98.76958276829211%,0.8167581558227539s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 948, 'fp': 1, 'fn': 11, 'tp': 456}",cd_box_fourier_real_19-05-2023_10-02-10.pickle,,
cd_box,fourier_zcurve,99.26393270241851%,98.9517819706499%,99.45217024863044%,99.52363675454863%,99.36939471269449%,0.5609674453735352s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 937, 'fp': 2, 'fn': 5, 'tp': 472}",cd_box_fourier_zcurve_19-05-2023_10-02-10.pickle,,
cd_box,entropy_shannon,79.55555555555556%,76.33262260127933%,81.6233470132239%,85.89680473930301%,84.31203463749289%,0.31298089027404785s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 874, 'fp': 73, 'fn': 111, 'tp': 358}",cd_box_entropy_shannon_19-05-2023_10-02-10.pickle,,
cd_box,entropy_tsallis,80.22727272727273%,77.58241758241759%,81.90255220417633%,86.3830949130409%,85.04511097643251%,0.3346257209777832s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 889, 'fp': 72, 'fn': 102, 'tp': 353}",cd_box_entropy_tsallis_19-05-2023_10-02-10.pickle,,
cd_box,complex,100.0%,100.0%,100.0%,100.0%,100.0%,0.697441816329956s,"{'class': 'cd_box', 'method': 'complex', 'tn': 942, 'fp': 0, 'fn': 0, 'tp': 474}",cd_box_complex_19-05-2023_10-02-10.pickle,,
cd_box,fourier_real,98.29787234042553%,97.26315789473684%,98.92933618843682%,98.99392829279876%,98.47217405895185%,0.6029307842254639s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 938, 'fp': 3, 'fn': 13, 'tp': 462}",cd_box_fourier_real_19-05-2023_10-02-10.pickle,,
cd_box,fourier_zcurve,98.4478935698448%,98.23008849557522%,98.5790408525755%,98.91925465838509%,98.80384092828554%,0.5959093570709229s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 958, 'fp': 6, 'fn': 8, 'tp': 444}",cd_box_fourier_zcurve_19-05-2023_10-02-10.pickle,,
cd_box,entropy_shannon,80.6896551724138%,77.65486725663717%,82.6271186440678%,86.92552569253338%,85.35232989387876%,0.3300797939300537s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 897, 'fp': 67, 'fn': 101, 'tp': 351}",cd_box_entropy_shannon_19-05-2023_10-02-10.pickle,,
cd_box,entropy_tsallis,79.4759825327511%,78.27956989247312%,80.21154693697663%,85.12160656227383%,84.565652454123%,0.3623850345611572s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 864, 'fp': 87, 'fn': 101, 'tp': 364}",cd_box_entropy_tsallis_19-05-2023_10-02-10.pickle,,
cd_box,complex,99.69969969969969%,99.40119760479041%,99.87966305655834%,99.83660130718954%,99.7005988023952%,0.5926010608673096s,"{'class': 'cd_box', 'method': 'complex', 'tn': 915, 'fp': 0, 'fn': 3, 'tp': 498}",cd_box_complex_19-05-2023_10-02-10.pickle,,
