nameseq,k1,k2,label
DQ789459|DQ789459.1,0.7454437869822486,0.9293912625443183,real
DQ789460|DQ789460.1,0.7481733434114386,0.934272,real
DQ789461|DQ789461.1,0.7472967128027682,0.9344307270233196,real
DQ789462|DQ789462.1,0.7483333333333333,0.928606736812372,real
DQ789463|DQ789463.1,0.7494592827322569,0.9353061224489796,real
DQ789464|DQ789464.1,0.7486225895316805,0.9322300565235127,real
DQ789465|DQ789465.1,0.735744,0.922216441207076,real
DQ789466|DQ789466.1,0.7491073303927747,0.9344131280302627,real
DQ789467|DQ789467.1,0.7445299532216689,0.9290816326530612,real
DQ789468|DQ789468.1,0.7479117841475873,0.9322509765625,real
DQ789469|DQ789469.1,0.7312509431115135,0.9241836734693878,real
DQ789470|DQ789470.1,0.7448317489059906,0.9266326530612246,real
DQ789471|DQ789471.1,0.7446667868517517,0.931640625,real
DQ789472|DQ789472.1,0.7374885215794307,0.9233727638249519,real
DQ789473|DQ789473.1,0.7450205761316873,0.9304967698819336,real
DQ789474|DQ789474.1,0.7366159760303014,0.9269972451790633,real
DQ789475|DQ789475.1,0.7417038837695743,0.9298668503213958,real
DQ789476|DQ789476.1,0.72698224852071,0.9235021933778018,real
DQ789477|DQ789477.1,0.7389849108367628,0.9297170862107373,real
DQ789478|DQ789478.1,0.746404958677686,0.9347177915389587,real
DQ789479|DQ789479.1,0.7355049239554804,0.923905325443787,real
DQ789480|DQ789480.1,0.7410990035545714,0.9294674556213017,real
DQ789481|DQ789481.1,0.7356537688881126,0.9264916572990368,real
DQ789482|DQ789482.1,0.7268038408779149,0.9252617509467588,real
DQ789483|DQ789483.1,0.7418169483860027,0.9288337924701561,real
DQ789484|DQ789484.1,0.7443877551020408,0.9318358263029864,real
DQ789485|DQ789485.1,0.7449108367626887,0.9298284695923368,real
DQ789486|DQ789486.1,0.7178374356748713,0.9201310153691106,real
DQ789487|DQ789487.1,0.7440014880029759,0.9327286470143613,real
DQ789488|DQ789488.1,0.734573401648474,0.9233987223698343,real
DQ789489|DQ789489.1,0.7301920698266003,0.925911961542087,real
DQ789490|DQ789490.1,0.7366297616813662,0.9285136741973841,real
DQ789491|DQ789491.1,0.742761485522971,0.9318468127991938,real
DQ789492|DQ789492.1,0.7308641975308642,0.922699933169971,real
DQ789493|DQ789493.1,0.7288945763860137,0.922267946959305,real
DQ789494|DQ789494.1,0.7312509431115135,0.9212244897959183,real
DQ789495|DQ789495.1,0.7267407260464194,0.9220864141642775,real
DQ789496|DQ789496.1,0.7357380106054425,0.9255621301775148,real
DQ789497|DQ789497.1,0.7469774939549879,0.9281934996220711,real
DQ789498|DQ789498.1,0.7456804733727811,0.9327564449251848,real
DQ789499|DQ789499.1,0.7311205168188906,0.9194414607948442,real
DQ789500|DQ789500.1,0.7345774691549383,0.9239103048626858,real
DQ789501|DQ789501.1,0.7317000595120016,0.9218852170413963,real
DQ789502|DQ789502.1,0.7359710972554048,0.9227218934911243,real
DQ789503|DQ789503.1,0.7361111111111112,0.9150483722900925,real
DQ789504|DQ789504.1,0.7405692729766804,0.9266414277988102,real
DQ789505|DQ789505.1,0.7231649469411707,0.919361237849633,real
DQ789506|DQ789506.1,0.7298902131658764,0.9197541551246537,real
DQ789507|DQ789507.1,0.7402308369132032,0.9283763915143878,real
DQ789517|DQ789517.1,0.7253578179854172,0.91859375,real
DQ789518|DQ789518.1,0.7386461937716263,0.9259807956104252,real
DQ789519|DQ789519.1,0.7252674897119342,0.9199153486299845,real
DQ789520|DQ789520.1,0.7372943637288711,0.925275482093664,real
DQ789521|DQ789521.1,0.7251206771143291,0.9219473122107511,real
DQ789522|DQ789522.1,0.7351974703949409,0.9252960443436634,real
DQ789523|DQ789523.1,0.7294897959183674,0.9251073960975105,real
DQ789524|DQ789524.1,0.7398170269797797,0.9300591715976332,real
DQ789525|DQ789525.1,0.7450887573964498,0.9335977405204015,real
DQ789526|DQ789526.1,0.7116598079561043,0.9075517932724437,real
DQ789527|DQ789527.1,0.7451676798032921,0.9265277777777777,real
