nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
LM5Cs1H1,243.0,181.23508371454372,1209.0867470550913,0.1789336742654527,0.38957475994513036,6.7068709743977015,211.73568428585673,212.10944571407174,54.123811328784676,82.4758108760841,181.23508371454372,327.4235628183628,1208.907813380826,44990.416961130744,244.94775194227873,122.47387597113936,0.8713402645508508,0.8751229131798542,0.24812244125365332,real
LM5Cs1H2,69.24999999999999,58.4198633848164,281.5795328794792,0.1293711766100606,0.332129963898917,3.0423058143696284,56.553072418746616,56.9673861804743,15.822740142043527,24.890414184397738,58.4198633848164,96.70403016014339,281.45016170286914,3245.283088235294,71.81361597574565,35.906807987872824,0.8166508652526588,0.57451184269841,0.2795296572656946,real
LM5Cs1H3,76.75,56.82862653109583,266.6992292002559,0.25,0.3257328990228013,3.3013271227736705,75.1506819663002,75.65675288271865,7.497363050477016,13.774191510915536,56.82862653109583,110.6717773745927,266.4492292002559,5723.944256756756,96.89758586367716,48.44879293183858,0.9791619800169407,0.7952571931883802,0.23908533371492516,real
LM5Cs1H4,69.25,60.453204901177024,243.99999999999997,1.7970409974413952,0.33212996389891697,3.1437022537872625,63.562960912783154,64.02862985553003,4.738022824427455,11.704311520060484,60.453204901177024,108.98452657302332,242.20295900255857,4099.66544117647,97.28021505296283,48.640107526481415,0.9178766918813452,0.4151849586220511,0.37416684730524097,real
LM15Cs1H1,66.0,33.034069870971216,348.3685156037425,0.12930074687777374,0.3232323232323232,3.121469918377721,80.2184517427256,80.8525995694811,4.293022231665716,18.316685521985296,33.034069870971216,80.11272594917814,348.2392148568647,6537.142857142854,61.79604042719285,30.898020213596425,1.2154310870109941,1.2328558858785832,0.1916558778140637,real
LM18Cs1H1,71.0,32.55743491709657,315.8322467482514,1.0,0.3192488262910798,3.1358146584000237,78.37091297158659,78.95360436225216,5.488412801116113,19.422714564454598,32.55743491709657,104.34238643044309,314.8322467482514,6233.671641791044,84.91967186598849,42.459835932994245,1.1038156756561492,1.471562482505753,0.27026324803763424,real
LM23Cs1H1,66.25,42.25,300.5076480845677,3.481915531584426,0.32704402515723274,2.9538020179744646,66.332495807108,66.8487097856047,18.65779831810325,25.648576011719072,42.25,78.64016770029482,297.02573255298324,4468.750000000001,52.99159168857575,26.495795844287876,1.0012452197299322,1.085440840479949,0.20903549307501595,real
LM26Cs1H1,65.24999999999999,36.99999999999999,239.09271037547407,0.8839777668189993,0.3524904214559388,3.2780271941590793,60.71449579795587,61.15929658542134,6.541232322970817,12.316898767102662,36.99999999999999,108.40263063224594,238.20873260865508,3740.4595588235297,96.08573186514329,48.042865932571644,0.9304903570567952,1.3958775229235014,0.3590466819432384,real
LM26Cs1H2,78.25000000000001,63.10522235495784,340.45604031650726,2.3589208390102376,0.34504792332268364,3.3260786952777415,65.43699259593153,65.84470365944401,18.742852043436066,31.928511736869485,63.10522235495784,99.24394096455835,338.097119477497,4335.524999999999,67.31542922768887,33.65771461384443,0.8362554964336296,0.694321837430398,0.24116232707124838,real
LM26Cs1H3,75.25000000000003,67.2843743554747,307.75954320147724,3.346338242311414,0.3765227021040973,3.5782791818953714,65.66010965571107,66.04978731806717,15.364477009761723,30.574543147192024,67.2843743554747,94.88141184602176,304.41320495916585,4362.574404761907,64.30686869882973,32.153434349414866,0.8725595967536351,0.36394817277764724,0.2758110081583173,real
