nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
SNORA58B,173.49999999999997,130.20251435388724,707.7424780584105,0.0,0.2574447646493756,3.7415033506231126,148.7052453681443,149.26324074464543,49.32019658860622,65.7682261504857,130.20251435388724,230.01123060165773,707.7424780584105,22279.51503759398,164.24300445117203,82.12150222558601,0.8570907514014081,0.8734894093128192,0.22557622879393907,real
SNORA77A,136.75,87.73030587453368,632.3688618889893,0.01463682093636412,0.29981718464351004,3.977504988152021,141.0802076834309,141.65722525594347,19.13252949433866,41.02040908280218,87.73030587453368,185.35386289221472,632.3542250680529,20066.76946721311,144.33345380941253,72.16672690470627,1.0316651384528768,1.0423792592252488,0.2379895585838245,real
SNORA77B,129.25,102.03160801282412,593.9447800806907,0.49358684239120404,0.30174081237911027,3.847914838358168,123.03353201465038,123.56271093854633,14.175669937029761,41.568688636405604,102.03160801282412,158.00021699756323,593.4511932382995,15267.743534482755,116.43152836115763,58.215764180578816,0.9519035358967147,0.6636822874580601,0.2022952161776395,real
SNORA82,170.74999999999991,158.06055893651342,926.7017749684472,12.952637674679133,0.24011713030746717,3.423569226520077,146.75021294703458,147.35042082190822,35.06585282632369,60.13274533128324,158.06055893651342,250.86811939233633,913.7491372937681,21712.146516393437,190.73537406105308,95.36768703052654,0.8594448781671137,0.25940898092051967,0.29889469888324854,real
SCARNA27,163.50000000000003,62.68899585098672,1370.1771784474474,0.716326471854999,0.2568807339449541,4.003044807464812,227.31750922443254,228.22496795924846,15.047735341518763,26.096682680424443,62.68899585098672,238.60608877148744,1369.4608519755925,52086.635999999984,212.509406091063,106.2547030455315,1.3903211573359786,1.3304431034762272,0.29407824044470515,real
SNORA83A,205.74999999999997,135.23898184742032,853.9400761467758,0.15537036560857942,0.21871202916160393,3.563258939520523,204.04258134026824,204.80251909670983,29.56716297112618,60.945732124503614,135.23898184742032,297.55367251737385,853.7847057811672,41944.071828358195,236.60794039287023,118.30397019643512,0.9917014888955931,1.0367103428523057,0.23102243014962517,real
SNORA83B,205.74999999999997,135.23898184742032,853.9400761467758,0.15537036560857942,0.21871202916160393,3.563258939520523,204.04258134026824,204.80251909670983,29.56716297112618,60.945732124503614,135.23898184742032,297.55367251737385,853.7847057811672,41944.071828358195,236.60794039287023,118.30397019643512,0.9917014888955931,1.0367103428523057,0.23102243014962517,real
SCARNA22,189.00000000000009,104.66711370710176,1144.038483065621,0.583927346589847,0.2328042328042327,3.6597771951881746,214.20550879937704,215.02153274029263,35.12733945375012,49.24009731092378,104.66711370710176,244.10324725963522,1143.454555719031,46234.259541984735,194.86314994871145,97.43157497435573,1.1333624804199838,1.1811024856305226,0.30720576921815196,real
SNORA80B,145.75000000000006,88.14794444258814,831.9099566158259,0.7330005746949425,0.3087478559176671,4.262684620103611,159.9980468630789,160.59394481717018,25.0,37.44907060859192,88.14794444258814,195.18007873812854,831.1769560411309,25790.415111940296,157.73100812953663,78.86550406476832,1.0977567537775563,1.0800517260071156,0.25231558548551647,real
SNORA80A,154.0,81.18778643867554,737.7870461573812,1.1303951186047103,0.2943722943722944,4.356234262965652,178.3423673724222,179.00167596980762,13.974263607494565,25.18739194275506,81.18778643867554,201.20972007257646,736.6566510387764,32041.600000000002,176.0223281298214,88.0111640649107,1.1580673206001442,1.2248163120310307,0.19669295083127247,real
