nameseq,k1,k2,label
AL031296.1/85969-86120,0.7480090027700831,0.9317135213367834,hacabox
AANU01225121.1/438-603,0.7435041370300479,0.9255463728191001,hacabox
AL031296.1/85969-86120,0.7480090027700831,0.9317135213367834,hacabox
AANU01225121.1/438-603,0.7435041370300479,0.9255463728191001,hacabox
BC028232.1/151-277,0.699485398970798,0.9021164021164021,hacabox
ABDC01310736.1/270-396,0.7153574307148614,0.9137062232300328,hacabox
AANG01147281.1/396-522,0.7209374418748837,0.9196271101033006,hacabox
AAFC03057820.1/30291-30417,0.7345774691549383,0.9257999496094734,hacabox
AANU01174700.1/2922-2796,0.7406534813069626,0.9109347442680776,hacabox
BC028232.1/151-277,0.699485398970798,0.9021164021164021,hacabox
ABDC01310736.1/270-396,0.7153574307148614,0.9137062232300328,hacabox
AANG01147281.1/396-522,0.7209374418748837,0.9196271101033006,hacabox
AAFC03057820.1/30291-30417,0.7345774691549383,0.9257999496094734,hacabox
AANU01174700.1/2922-2796,0.7406534813069626,0.9109347442680776,hacabox
CP002684.1/29422149-29422275,0.7069254138508276,0.9018644494834971,hacabox
CP002684.1/29422149-29422275,0.7069254138508276,0.9018644494834971,hacabox
AAFI02000024.1/236827-236973,0.7218288676014624,0.918746481516232,hacabox
AJ699379.1/1-147,0.7246980424822991,0.9194032651529368,hacabox
AAFI02000024.1/236827-236973,0.7218288676014624,0.918746481516232,hacabox
AJ699379.1/1-147,0.7246980424822991,0.9194032651529368,hacabox
AACB02000045.1/26369-26517,0.7282554839872077,0.922936449963477,hacabox
ACGJ01001410.1/76727-76873,0.7296034059882457,0.9222180521673861,hacabox
AACB02000045.1/26369-26517,0.7282554839872077,0.922936449963477,hacabox
ACGJ01001410.1/76727-76873,0.7296034059882457,0.9222180521673861,hacabox
ACGJ01001859.1/18807-18659,0.7431196792937255,0.9290540540540541,hacabox
ACVC01000193.1/33186-33335,0.7433777777777777,0.9298680239628846,hacabox
ACGJ01001859.1/18807-18659,0.7431196792937255,0.9290540540540541,hacabox
ACVC01000193.1/33186-33335,0.7433777777777777,0.9298680239628846,hacabox
ACGJ01000491.1/21078-21184,0.7385797886278278,0.9277322890708437,hacabox
ACVC01000234.1/36443-36337,0.7452179229627043,0.9328942684229263,hacabox
ACGJ01000491.1/21078-21184,0.7385797886278278,0.9277322890708437,hacabox
ACVC01000234.1/36443-36337,0.7452179229627043,0.9328942684229263,hacabox
AACB02000002.1/624760-624649,0.7488839285714286,0.931742553364175,hacabox
ACGJ01002311.1/35790-35679,0.7474489795918368,0.9306062819576333,hacabox
AACB02000002.1/624760-624649,0.7488839285714286,0.931742553364175,hacabox
ACGJ01002311.1/35790-35679,0.7474489795918368,0.9306062819576333,hacabox
AACB02000001.1/458263-458113,0.7430375860707863,0.9304,hacabox
ACGJ01002895.1/16336-16188,0.7468132066123148,0.9337107377647919,hacabox
AACB02000001.1/458263-458113,0.7430375860707863,0.9304,hacabox
ACGJ01002895.1/16336-16188,0.7468132066123148,0.9337107377647919,hacabox
ACVC01000147.1/10980-10834,0.74487482067657,0.9300994558078439,hacabox
ACVC01000147.1/10980-10834,0.74487482067657,0.9300994558078439,hacabox
AACB02000040.1/79498-79351,0.6919284149013879,0.8958304410199454,hacabox
ACGJ01002360.1/10522-10369,0.7207792207792207,0.9163996753385449,hacabox
AACB02000040.1/79498-79351,0.6919284149013879,0.8958304410199454,hacabox
ACGJ01002360.1/10522-10369,0.7207792207792207,0.9163996753385449,hacabox
AACB02000068.1/10221-10367,0.7454301448470545,0.9308500656783637,hacabox
ACGJ01001903.1/4369-4514,0.748358040908238,0.9306064209274674,hacabox
AACB02000068.1/10221-10367,0.7454301448470545,0.9308500656783637,hacabox
ACGJ01001903.1/4369-4514,0.748358040908238,0.9306064209274674,hacabox
AACB02000068.1/10395-10508,0.7080640196983687,0.9095465580703266,hacabox
ACGJ01001903.1/4544-4655,0.7383609693877551,0.9220030841652463,hacabox
AACB02000068.1/10395-10508,0.7080640196983687,0.9095465580703266,hacabox
ACGJ01001903.1/4544-4655,0.7383609693877551,0.9220030841652463,hacabox
AACB02000004.1/98546-98434,0.7460255305818779,0.9323979591836735,hacabox
AACB02000004.1/98546-98434,0.7460255305818779,0.9323979591836735,hacabox
AF468961.1/1-132,0.7106290174471992,0.9085717615523571,hacabox
AJ248287.2/141310-141179,0.7165977961432507,0.9130004079016374,hacabox
BA000001.2/592118-592247,0.7310059171597634,0.92073793642209,hacabox
AF468961.1/1-132,0.7106290174471992,0.9085717615523571,hacabox
AJ248287.2/141310-141179,0.7165977961432507,0.9130004079016374,hacabox
BA000001.2/592118-592247,0.7310059171597634,0.92073793642209,hacabox
AF468962.1/1-168,0.7312216553287982,0.9252393416759296,hacabox
