classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
negative,fourier_real,98.97330595482546%,99.04109589041096%,98.93267651888343%,0.5716590881347656s,cd_box_fourier_real_14-04-2023_20-09-47.pickle
negative,fourier_zcurve,99.45205479452054%,99.0450204638472%,99.69788519637464%,0.42279982566833496s,cd_box_fourier_zcurve_14-04-2023_20-09-47.pickle
negative,entropy_shannon,92.31873653984206%,90.94766619519095%,93.16140249203131%,0.28189539909362793s,cd_box_entropy_shannon_14-04-2023_20-09-47.pickle
negative,entropy_tsallis,97.37931034482759%,97.64868603042876%,97.21839713577525%,0.2774009704589844s,cd_box_entropy_tsallis_14-04-2023_20-09-47.pickle
negative,complex,100.0%,100.0%,100.0%,0.34265589714050293s,cd_box_complex_14-04-2023_20-09-47.pickle
negative,fourier_real,99.06914893617021%,99.06914893617021%,99.06914893617021%,0.44080233573913574s,haca_box_fourier_real_14-04-2023_20-09-49.pickle
negative,fourier_zcurve,99.66009517335146%,99.86376021798365%,99.53829440521454%,0.4109067916870117s,haca_box_fourier_zcurve_14-04-2023_20-09-49.pickle
negative,entropy_shannon,92.06349206349205%,87.03956343792633%,95.3662182361734%,0.25696539878845215s,haca_box_entropy_shannon_14-04-2023_20-09-49.pickle
negative,entropy_tsallis,99.1315965263861%,99.06542056074767%,99.171344560278%,0.24511313438415527s,haca_box_entropy_tsallis_14-04-2023_20-09-49.pickle
negative,complex,99.59072305593452%,99.45504087193461%,99.67231021299835%,0.35402393341064453s,haca_box_complex_14-04-2023_20-09-49.pickle
