classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cdbox,fourier_real,99.26421404682274%,99.66420416386836%,99.02575737354864%,98.89607645082489%,98.05013143203901%,1.05106520652771s,cd_box_fourier_real_12-05-2023_11-56-14.pickle
cdbox,fourier_zcurve,99.84294368409245%,99.95507637017072%,99.77578475336321%,99.75800427022936%,99.33924031274492%,0.9932997226715088s,cd_box_fourier_zcurve_12-05-2023_11-56-14.pickle
cdbox,entropy_shannon,93.14359637774902%,95.68106312292359%,91.68470648159939%,86.79342214862513%,81.89693069378285%,0.4645655155181885s,cd_box_entropy_shannon_12-05-2023_11-56-14.pickle
cdbox,entropy_tsallis,91.33137062479555%,93.75419744795165%,89.93686380621054%,82.83188903702184%,78.84774861915402%,0.42307209968566895s,cd_box_entropy_tsallis_12-05-2023_11-56-14.pickle
cdbox,complex,99.83590416803413%,99.93429697766098%,99.77696142744688%,99.75547377420914%,99.51669803838003%,1.0569849014282227s,cd_box_complex_12-05-2023_11-56-14.pickle
hacabox,fourier_real,99.20792079207921%,99.800796812749%,98.8555643251776%,98.77530933633297%,96.3769084734886%,0.8363032341003418s,haca_box_fourier_real_12-05-2023_11-56-18.pickle
hacabox,fourier_zcurve,99.33993399339934%,99.66887417218543%,99.14361001317523%,98.62629725722758%,97.28341667792945%,0.863849401473999s,haca_box_fourier_zcurve_12-05-2023_11-56-18.pickle
hacabox,entropy_shannon,91.40383426097712%,98.33666001330673%,87.6943158894031%,75.56879782847827%,57.14175193356367%,0.39835500717163086s,haca_box_entropy_shannon_12-05-2023_11-56-18.pickle
hacabox,entropy_tsallis,91.53175591531756%,97.15796430931924%,88.45829823083405%,72.7845511365229%,59.23190311685893%,0.39491820335388184s,haca_box_entropy_tsallis_12-05-2023_11-56-18.pickle
hacabox,complex,99.4994994994995%,99.93297587131367%,99.24121405750797%,99.36765964066268%,97.72289819206709%,1.3214328289031982s,haca_box_complex_12-05-2023_11-56-18.pickle
