classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cd_box,fourier_real,97.8675645342312%,98.41986455981942%,97.5391498881432%,0.5867600440979004s,cd_box_fourier_real_14-04-2023_20-48-00.pickle
cd_box,fourier_zcurve,99.0228013029316%,98.7012987012987%,99.21671018276764%,0.43086743354797363s,cd_box_fourier_zcurve_14-04-2023_20-48-00.pickle
cd_box,entropy_shannon,87.93103448275862%,89.47368421052632%,87.03071672354949%,0.2925889492034912s,cd_box_entropy_shannon_14-04-2023_20-48-00.pickle
cd_box,entropy_tsallis,96.0352422907489%,94.98910675381264%,96.67405764966742%,0.30699610710144043s,cd_box_entropy_tsallis_14-04-2023_20-48-00.pickle
cd_box,complex,100.0%,100.0%,100.0%,0.35475635528564453s,cd_box_complex_14-04-2023_20-48-00.pickle
haca_box,fourier_real,97.79179810725552%,96.875%,98.3502538071066%,0.461986780166626s,haca_box_fourier_real_14-04-2023_20-48-02.pickle
haca_box,fourier_zcurve,98.98989898989899%,98.98989898989899%,98.98989898989899%,0.4133126735687256s,haca_box_fourier_zcurve_14-04-2023_20-48-02.pickle
haca_box,entropy_shannon,83.55555555555554%,90.96774193548387%,79.66101694915255%,0.2684338092803955s,haca_box_entropy_shannon_14-04-2023_20-48-02.pickle
haca_box,entropy_tsallis,99.01960784313725%,99.67105263157895%,98.63281250000001%,0.2615070343017578s,haca_box_entropy_tsallis_14-04-2023_20-48-02.pickle
haca_box,complex,100.0%,100.0%,100.0%,0.4089512825012207s,haca_box_complex_14-04-2023_20-48-02.pickle
