classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cdbox,fourier_real,99.91401547721411%,100.0%,99.86249570299071%,2.3237814903259277s,cd_box_fourier_real_10-01-2023_21-13-23.pickle
cdbox,fourier_zcurve,99.87096774193547%,100.0%,99.79370809695719%,1.3948814868927002s,cd_box_fourier_zcurve_10-01-2023_21-13-23.pickle
cdbox,entropy_shannon,92.8496977277465%,95.74376612209802%,91.19574119574119%,1.014024019241333s,cd_box_entropy_shannon_10-01-2023_21-13-23.pickle
cdbox,entropy_tsallis,91.10830172777075%,94.65849387040281%,89.10319815364325%,1.1811392307281494s,cd_box_entropy_tsallis_10-01-2023_21-13-23.pickle
cdbox,complex,99.892449989245%,99.91394148020653%,99.87955953200274%,1.7730023860931396s,cd_box_complex_10-01-2023_21-13-23.pickle
hacabox,fourier_real,99.69392216878006%,99.91235758106923%,99.56331877729258%,2.0777220726013184s,haca_box_fourier_real_10-01-2023_21-13-30.pickle
hacabox,fourier_zcurve,99.6124031007752%,99.91360691144709%,99.43255094144959%,2.034926414489746s,haca_box_fourier_zcurve_10-01-2023_21-13-30.pickle
hacabox,entropy_shannon,89.97398439063439%,97.69665362885702%,85.89988536492169%,0.9856381416320801s,haca_box_entropy_shannon_10-01-2023_21-13-30.pickle
hacabox,entropy_tsallis,89.86661357754329%,97.24256785868161%,85.95475664559372%,0.988914966583252s,haca_box_entropy_tsallis_10-01-2023_21-13-30.pickle
hacabox,complex,99.65650493774153%,99.87091222030982%,99.52830188679246%,2.947420597076416s,haca_box_complex_10-01-2023_21-13-30.pickle
