classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao (n = 5)
haca_box,entropy_tsallis,48.987854251012145%,42.6056338028169%,53.82562277580071%,71.00301039956211%,66.71518803542908%,0.3447551727294922s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 881, 'fp': 89, 'fn': 163, 'tp': 121}",haca_box_entropy_tsallis_20-05-2023_21-47-58.pickle,
haca_box,complex,98.98305084745763%,98.64864864864865%,99.18478260869566%,99.4515306122449%,99.21994019071263%,0.7421679496765137s,"{'class': 'haca_box', 'method': 'complex', 'tn': 956, 'fp': 2, 'fn': 4, 'tp': 292}",haca_box_complex_20-05-2023_21-47-58.pickle,
haca_box,fourier_real,96.4941569282137%,96.97986577181209%,96.20505992010652%,97.53445144377085%,97.86231782314452%,0.633012056350708s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 944, 'fp': 12, 'fn': 9, 'tp': 289}",haca_box_fourier_real_20-05-2023_21-47-58.pickle,
haca_box,fourier_zcurve,97.21254355400697%,94.89795918367348%,98.65629420084866%,99.05140803754766%,97.39689625850339%,0.5996303558349609s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 959, 'fp': 1, 'fn': 15, 'tp': 279}",haca_box_fourier_zcurve_20-05-2023_21-47-58.pickle,
haca_box,entropy_shannon,40.59196617336152%,30.18867924528302%,51.17270788912579%,70.86765094367313%,61.9426302209321%,0.32814908027648926s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 877, 'fp': 59, 'fn': 222, 'tp': 96}",haca_box_entropy_shannon_20-05-2023_21-47-58.pickle,
haca_box,entropy_tsallis,54.095238095238095%,46.864686468646866%,59.61376994122586%,74.18159438508276%,69.22624439100062%,0.3217787742614746s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 871, 'fp': 80, 'fn': 161, 'tp': 142}",haca_box_entropy_tsallis_20-05-2023_21-47-58.pickle,
haca_box,complex,97.78534923339012%,95.66666666666667%,99.10220994475138%,99.32781799379524%,97.83333333333333%,0.6900520324707031s,"{'class': 'haca_box', 'method': 'complex', 'tn': 954, 'fp': 0, 'fn': 13, 'tp': 287}",haca_box_complex_20-05-2023_21-47-58.pickle,
haca_box,fourier_real,95.37953795379538%,93.2258064516129%,96.7202141900937%,97.72153416464481%,96.24214051394203%,0.6013855934143066s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 937, 'fp': 7, 'fn': 21, 'tp': 289}",haca_box_fourier_real_20-05-2023_21-47-58.pickle,
haca_box,fourier_zcurve,96.50349650349649%,94.84536082474226%,97.52650176678445%,98.33950836280646%,97.16307501257882%,0.6049737930297852s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 958, 'fp': 5, 'fn': 15, 'tp': 276}",haca_box_fourier_zcurve_20-05-2023_21-47-58.pickle,
haca_box,entropy_shannon,42.37288135593221%,32.05128205128205%,52.52100840336135%,71.56078610603291%,62.84092764984484%,0.44719696044921875s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 882, 'fp': 60, 'fn': 212, 'tp': 100}",haca_box_entropy_shannon_20-05-2023_21-47-58.pickle,
haca_box,entropy_tsallis,52.734375%,41.284403669724774%,63.26148078725399%,77.50613101408237%,67.94533020595192%,0.38557004928588867s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 877, 'fp': 50, 'fn': 192, 'tp': 135}",haca_box_entropy_tsallis_20-05-2023_21-47-58.pickle,
haca_box,complex,97.9381443298969%,96.61016949152543%,98.75259875259876%,99.1345048625549%,98.20080945900568%,0.7027714252471924s,"{'class': 'haca_box', 'method': 'complex', 'tn': 957, 'fp': 2, 'fn': 10, 'tp': 285}",haca_box_complex_20-05-2023_21-47-58.pickle,
haca_box,fourier_real,95.47738693467338%,92.53246753246754%,97.3360655737705%,98.11624863294907%,96.05481727574751%,0.6231281757354736s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 942, 'fp': 4, 'fn': 23, 'tp': 285}",haca_box_fourier_real_20-05-2023_21-47-58.pickle,
haca_box,fourier_zcurve,98.18780889621087%,98.67549668874173%,97.89750328515112%,98.6417108604398%,98.97010128554733%,0.6236417293548584s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 945, 'fp': 7, 'fn': 4, 'tp': 298}",haca_box_fourier_zcurve_20-05-2023_21-47-58.pickle,
haca_box,entropy_shannon,39.148936170212764%,29.773462783171524%,48.268625393494226%,68.64462161808913%,61.23593774079211%,0.35369086265563965s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 876, 'fp': 69, 'fn': 217, 'tp': 92}",haca_box_entropy_shannon_20-05-2023_21-47-58.pickle,
haca_box,entropy_tsallis,56.04606525911707%,47.712418300653596%,62.60720411663807%,76.25377711126531%,70.21696864399769%,0.34891772270202637s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 879, 'fp': 69, 'fn': 160, 'tp': 146}",haca_box_entropy_tsallis_20-05-2023_21-47-58.pickle,
haca_box,complex,98.05825242718447%,96.4968152866242%,99.01960784313725%,99.25657894736842%,98.1952161539504%,0.7432434558868408s,"{'class': 'haca_box', 'method': 'complex', 'tn': 939, 'fp': 1, 'fn': 11, 'tp': 303}",haca_box_complex_20-05-2023_21-47-58.pickle,
,,,,,,,,,,"[{'class': 'cd_box', 'method': 'complex', 'deviation': 49.179670596700824}, {'class': 'cd_box', 'method': 'complex', 'deviation': 44.90434277439099}, {'class': 'cd_box', 'method': 'complex', 'deviation': 49.1689152028212}, {'class': 'cd_box', 'method': 'complex', 'deviation': 50.008474281865475}, {'class': 'cd_box', 'method': 'complex', 'deviation': 49.52940136928772}, {'class': 'haca_box', 'method': 'complex', 'deviation': 88.37329913497628}, {'class': 'haca_box', 'method': 'complex', 'deviation': 90.68318476983481}, {'class': 'haca_box', 'method': 'complex', 'deviation': 88.10286916755638}, {'class': 'haca_box', 'method': 'complex', 'deviation': 86.6411565019766}, {'class': 'haca_box', 'method': 'complex', 'deviation': 87.02040220545985}]"
