classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
haca_box,entropy_tsallis,51.73116089613035%,45.84837545126354%,56.045895851721106%,72.46135873472322%,68.47178240321621%,0.33876752853393555s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 890, 'fp': 87, 'fn': 150, 'tp': 127}"
haca_box,entropy_tsallis,51.36842105263158%,41.21621621621622%,60.27667984189723%,75.98518903468884%,67.63316030017492%,0.456836462020874s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 901, 'fp': 57, 'fn': 174, 'tp': 122}"
haca_box,entropy_tsallis,53.62903225806451%,45.23809523809524%,60.344827586206904%,75.26870082445507%,69.02529761904762%,0.3894023895263672s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 891, 'fp': 69, 'fn': 161, 'tp': 133}"
haca_box,entropy_tsallis,53.88994307400379%,44.936708860759495%,61.206896551724135%,75.30796599310229%,68.79031605084882%,0.3485429286956787s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 869, 'fp': 69, 'fn': 174, 'tp': 142}"
haca_box,entropy_tsallis,53.714285714285715%,47.15719063545151%,58.60349127182044%,73.50986536276298%,69.12833353762103%,0.3342571258544922s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 870, 'fp': 85, 'fn': 158, 'tp': 141}"
haca_box,complex,98.38709677419357%,97.13375796178345%,99.1547464239272%,99.36191776288574%,98.51368749153%,1.0296013355255127s,"{'class': 'haca_box', 'method': 'complex', 'tn': 939, 'fp': 1, 'fn': 9, 'tp': 305}"
haca_box,complex,97.8297161936561%,96.06557377049181%,98.91964888588792%,99.20493197278913%,97.9800998462575%,0.8687138557434082s,"{'class': 'haca_box', 'method': 'complex', 'tn': 948, 'fp': 1, 'fn': 12, 'tp': 293}"
haca_box,complex,98.1450252951096%,96.67774086378738%,99.04697072838665%,99.30901660353715%,98.28640453472684%,0.9576067924499512s,"{'class': 'haca_box', 'method': 'complex', 'tn': 952, 'fp': 1, 'fn': 10, 'tp': 291}"
haca_box,complex,97.82244556113903%,96.36963696369637%,98.71534820824881%,99.08694727891157%,98.07966601076514%,0.7164852619171143s,"{'class': 'haca_box', 'method': 'complex', 'tn': 949, 'fp': 2, 'fn': 11, 'tp': 292}"
haca_box,complex,97.81818181818181%,96.07142857142857%,98.89705882352942%,99.25587172538393%,97.98437958345556%,0.6848294734954834s,"{'class': 'haca_box', 'method': 'complex', 'tn': 973, 'fp': 1, 'fn': 11, 'tp': 269}"
