classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cdbox,fourier_real,99.9354422207876%,100.0%,99.89674754775425%,1.2403960227966309s,cd_box_fourier_real_08-01-2023_15-44-18.pickle
cdbox,fourier_zcurve,99.91319444444444%,100.0%,99.86118341141767%,1.1602184772491455s,cd_box_fourier_zcurve_08-01-2023_15-44-18.pickle
cdbox,entropy_shannon,92.88405190456258%,95.15437392795883%,91.57312644437108%,0.7939493656158447s,cd_box_entropy_shannon_08-01-2023_15-44-18.pickle
cdbox,entropy_tsallis,91.11531190926276%,94.50980392156862%,89.19319022945966%,0.7551288604736328s,cd_box_entropy_tsallis_08-01-2023_15-44-18.pickle
cdbox,complex,99.93442622950819%,99.91258741258741%,99.94753410283317%,1.449082374572754s,cd_box_complex_08-01-2023_15-44-18.pickle
hacabox,fourier_real,99.54397394136808%,99.9128160418483%,99.32397295891835%,1.663290023803711s,haca_box_fourier_real_08-01-2023_15-44-23.pickle
hacabox,fourier_zcurve,99.6542783059637%,99.91334488734836%,99.49948222298931%,1.6585488319396973s,haca_box_fourier_zcurve_08-01-2023_15-44-23.pickle
hacabox,entropy_shannon,90.219802379512%,97.30317529360592%,86.44408377772625%,0.718102216720581s,haca_box_entropy_shannon_08-01-2023_15-44-23.pickle
hacabox,entropy_tsallis,88.88888888888889%,97.45390693590869%,84.4363304427202%,0.7170946598052979s,haca_box_entropy_tsallis_08-01-2023_15-44-23.pickle
hacabox,complex,99.67270346934323%,99.9562363238512%,99.50335453515726%,2.427027940750122s,haca_box_complex_08-01-2023_15-44-23.pickle
