classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
negative,fourier_real,99.26519706078824%,99.46452476572959%,99.14598345342941%,0.6878857612609863s,cd_box_fourier_real_14-04-2023_20-02-23.pickle
negative,fourier_zcurve,99.32975871313671%,98.93190921228305%,99.57000806234883%,0.4985496997833252s,cd_box_fourier_zcurve_14-04-2023_20-02-23.pickle
negative,entropy_shannon,93.1545518701482%,90.9090909090909%,94.55587392550144%,0.3345978260040283s,cd_box_entropy_shannon_14-04-2023_20-02-23.pickle
negative,entropy_tsallis,97.86381842456609%,98.38926174496643%,97.55123768964602%,0.33261895179748535s,cd_box_entropy_tsallis_14-04-2023_20-02-23.pickle
negative,complex,99.86595174262735%,99.73226238286479%,99.94633753689294%,0.41808533668518066s,cd_box_complex_14-04-2023_20-02-23.pickle
negative,fourier_real,99.39065673662832%,99.72826086956522%,99.1891891891892%,0.5194613933563232s,haca_box_fourier_real_14-04-2023_20-02-26.pickle
negative,fourier_zcurve,99.79409746053534%,99.86263736263736%,99.75301866081229%,0.4605708122253418s,haca_box_fourier_zcurve_14-04-2023_20-02-26.pickle
negative,entropy_shannon,91.22552574329225%,85.81173260572987%,94.81459149834185%,0.32958364486694336s,haca_box_entropy_shannon_14-04-2023_20-02-26.pickle
negative,entropy_tsallis,98.90859481582538%,99.58791208791209%,98.50543478260869%,0.3195521831512451s,haca_box_entropy_tsallis_14-04-2023_20-02-26.pickle
negative,complex,99.93256911665543%,99.86522911051213%,99.97301672962764%,0.43814802169799805s,haca_box_complex_14-04-2023_20-02-26.pickle
