classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cdbox,fourier_real,99.37716262975778%,99.86091794158554%,99.08915263593705%,0.9567091464996338s,cd_box_fourier_real_14-04-2023_19-49-34.pickle
cdbox,fourier_zcurve,99.73190348525469%,99.73190348525469%,99.73190348525468%,0.4220774173736572s,cd_box_fourier_zcurve_14-04-2023_19-49-34.pickle
cdbox,entropy_shannon,92.44755244755245%,90.6721536351166%,93.54656099632041%,0.2859623432159424s,cd_box_entropy_shannon_14-04-2023_19-49-34.pickle
cdbox,entropy_tsallis,97.50346740638003%,97.77468706536857%,97.34145666020493%,0.28353285789489746s,cd_box_entropy_tsallis_14-04-2023_19-49-34.pickle
cdbox,complex,99.93136582017846%,99.86282578875172%,99.97253501785225%,0.3831331729888916s,cd_box_complex_14-04-2023_19-49-34.pickle
hacabox,fourier_real,98.9648033126294%,99.30747922437672%,98.7603305785124%,0.44724154472351074s,haca_box_fourier_real_14-04-2023_19-49-36.pickle
hacabox,fourier_zcurve,99.65349965349965%,99.86111111111111%,99.52934662236989%,0.4012763500213623s,haca_box_fourier_zcurve_14-04-2023_19-49-36.pickle
hacabox,entropy_shannon,91.72066234701224%,87.74104683195593%,94.2865600947306%,0.26641249656677246s,haca_box_entropy_shannon_14-04-2023_19-49-36.pickle
hacabox,entropy_tsallis,99.19028340080972%,99.72862957937585%,98.87005649717514%,0.2499377727508545s,haca_box_entropy_tsallis_14-04-2023_19-49-36.pickle
hacabox,complex,99.72972972972973%,99.72972972972973%,99.72972972972973%,0.3675239086151123s,haca_box_complex_14-04-2023_19-49-36.pickle
