classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.76819708846584%,98.21826280623608%,99.10112359550561%,99.25063952841731%,98.95401247860924%,0.6466968059539795s,cd_box_fourier_real_12-05-2023_16-33-38.pickle
cd_box,fourier_zcurve,98.92933618843685%,98.29787234042553%,99.31212381771282%,99.3643146913938%,99.04322792496963%,0.5670876502990723s,cd_box_fourier_zcurve_12-05-2023_16-33-38.pickle
cd_box,entropy_shannon,80.18120045300114%,77.80219780219781%,81.67974157821875%,86.24380415452723%,85.05094281368994%,0.34532666206359863s,cd_box_entropy_shannon_12-05-2023_16-33-38.pickle
cd_box,entropy_tsallis,79.43107221006564%,79.08496732026144%,79.6401930671347%,84.89531280374152%,84.73579609482246%,0.3637101650238037s,cd_box_entropy_tsallis_12-05-2023_16-33-38.pickle
cd_box,complex,99.69293756397134%,99.38775510204081%,99.87694831829367%,99.83853606027986%,99.69387755102042%,0.6036014556884766s,cd_box_complex_12-05-2023_16-33-38.pickle
haca_box,fourier_real,95.97423510466989%,94.30379746835443%,97.00520833333333%,97.90409231460208%,96.778764405819%,0.61452317237854s,haca_box_fourier_real_12-05-2023_16-33-41.pickle
haca_box,fourier_zcurve,96.8174204355109%,96.01328903654485%,97.30639730639729%,98.19126276589742%,97.63938323810454%,0.6219005584716797s,haca_box_fourier_zcurve_12-05-2023_16-33-41.pickle
haca_box,entropy_shannon,38.65546218487395%,28.57142857142857%,49.040511727078886%,69.41558441558442%,60.95953402820356%,0.33658432960510254s,haca_box_entropy_shannon_12-05-2023_16-33-41.pickle
haca_box,entropy_tsallis,59.24528301886792%,55.08771929824562%,62.055335968379445%,75.69790255051475%,73.0030959752322%,0.3361704349517822s,haca_box_entropy_tsallis_12-05-2023_16-33-41.pickle
haca_box,complex,97.78534923339012%,96.30872483221476%,98.69325997248968%,99.08403105222582%,98.04975990564712%,0.7313416004180908s,haca_box_complex_12-05-2023_16-33-41.pickle
