classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cdbox,fourier_real,99.78204010462075%,99.91270187690965%,99.70380695182509%,1.6310832500457764s,cd_box_fourier_real_10-01-2023_21-17-16.pickle
cdbox,fourier_zcurve,99.84968864075586%,100.0%,99.75971852741785%,1.4025321006774902s,cd_box_fourier_zcurve_10-01-2023_21-17-16.pickle
cdbox,entropy_shannon,92.90456431535272%,95.80658964484383%,91.24623033662075%,0.9766442775726318s,cd_box_entropy_shannon_10-01-2023_21-17-16.pickle
cdbox,entropy_tsallis,91.26012040689226%,93.81135296628254%,89.79491788544814%,1.023181438446045s,cd_box_entropy_tsallis_10-01-2023_21-17-16.pickle
cdbox,complex,99.91438356164383%,99.91438356164383%,99.91438356164383%,1.7847633361816406s,cd_box_complex_10-01-2023_21-17-16.pickle
hacabox,fourier_real,99.56840742339233%,99.95667244367418%,99.33689286944542%,2.07129168510437s,haca_box_fourier_real_10-01-2023_21-17-23.pickle
hacabox,fourier_zcurve,99.5475113122172%,99.87029831387808%,99.35483870967742%,1.9078660011291504s,haca_box_fourier_zcurve_10-01-2023_21-17-23.pickle
hacabox,entropy_shannon,90.14591245252849%,96.9058874086807%,86.52444171590821%,0.9566378593444824s,haca_box_entropy_shannon_10-01-2023_21-17-23.pickle
hacabox,entropy_tsallis,90.11685482273717%,97.80739466895959%,86.05689211681042%,0.9453589916229248s,haca_box_entropy_tsallis_10-01-2023_21-17-23.pickle
hacabox,complex,99.72085033283228%,100.0%,99.5541073572286%,2.6689865589141846s,haca_box_complex_10-01-2023_21-17-23.pickle
