classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.2905982905983%,97.45762711864407%,98.79725085910653%,98.93871341640104%,98.51694915254238%,0.6435229778289795s,cd_box_fourier_real_12-05-2023_16-33-27.pickle
cd_box,fourier_zcurve,98.90590809628009%,99.12280701754386%,98.77622377622377%,99.13620989871548%,99.24890350877193%,0.5671794414520264s,cd_box_fourier_zcurve_12-05-2023_16-33-27.pickle
cd_box,entropy_shannon,79.58715596330273%,77.62863534675614%,80.81043316255241%,85.77812073366178%,84.78954987152049%,0.35196375846862793s,cd_box_entropy_shannon_12-05-2023_16-33-27.pickle
cd_box,entropy_tsallis,81.54327424400417%,78.83064516129032%,83.26235093696762%,86.71570282771921%,85.50227910238429%,0.35720396041870117s,cd_box_entropy_tsallis_12-05-2023_16-33-27.pickle
cd_box,complex,99.88974641675854%,99.77973568281938%,99.95586937334508%,99.94807892004154%,99.8898678414097%,0.631103515625s,cd_box_complex_12-05-2023_16-33-27.pickle
haca_box,fourier_real,95.55189456342669%,94.15584415584416%,96.4095744680851%,97.55257490062863%,96.602234974328%,0.6260104179382324s,haca_box_fourier_real_12-05-2023_16-33-30.pickle
haca_box,fourier_zcurve,97.5609756097561%,95.8904109589041%,98.59154929577466%,99.0281061203047%,97.84125537550196%,0.6349234580993652s,haca_box_fourier_zcurve_12-05-2023_16-33-30.pickle
haca_box,entropy_shannon,40.59196617336152%,30.18867924528302%,51.17270788912579%,70.86765094367313%,61.9426302209321%,0.33057332038879395s,haca_box_entropy_shannon_12-05-2023_16-33-30.pickle
haca_box,entropy_tsallis,56.015037593984964%,50.85324232081911%,59.647718174539634%,74.0779520580415%,70.74399889193921%,0.3342163562774658s,haca_box_entropy_tsallis_12-05-2023_16-33-30.pickle
haca_box,complex,97.50889679715303%,96.47887323943662%,98.13753581661891%,98.76828045760114%,98.03325105270801%,0.7146892547607422s,haca_box_complex_12-05-2023_16-33-30.pickle
