classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cd_box,fourier_real,98.6006458557589%,98.92008639308855%,98.40996991834983%,0.5654230117797852s,cd_box_fourier_real_14-04-2023_20-35-24.pickle
cd_box,fourier_zcurve,99.32885906040269%,99.32885906040269%,99.32885906040269%,0.4105818271636963s,cd_box_fourier_zcurve_14-04-2023_20-35-24.pickle
cd_box,entropy_shannon,89.54635108481263%,93.6082474226804%,87.27412533640907%,0.28020453453063965s,cd_box_entropy_shannon_14-04-2023_20-35-24.pickle
cd_box,entropy_tsallis,96.57320872274143%,96.27329192546584%,96.75405742821472%,0.2730884552001953s,cd_box_entropy_tsallis_14-04-2023_20-35-24.pickle
cd_box,complex,100.0%,100.0%,100.0%,0.3494837284088135s,cd_box_complex_14-04-2023_20-35-24.pickle
haca_box,fourier_real,98.45094664371773%,97.94520547945206%,98.75690607734806%,0.4447472095489502s,haca_box_fourier_real_14-04-2023_20-35-26.pickle
haca_box,fourier_zcurve,98.8543371522095%,98.37133550488599%,99.14642153644124%,0.3807375431060791s,haca_box_fourier_zcurve_14-04-2023_20-35-26.pickle
haca_box,entropy_shannon,82.22565687789799%,92.6829268292683%,77.0121598147076%,0.2617645263671875s,haca_box_entropy_shannon_14-04-2023_20-35-26.pickle
haca_box,entropy_tsallis,97.97979797979798%,97.6510067114094%,98.17813765182186%,0.25435352325439453s,haca_box_entropy_tsallis_14-04-2023_20-35-26.pickle
haca_box,complex,99.84496124031007%,99.69040247678018%,99.9379267535692%,0.382049560546875s,haca_box_complex_14-04-2023_20-35-26.pickle
