classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 5),desvio_padrao_hacabox (n = 5)
haca_box,complex,96.52777777777779%,93.60269360269359%,98.37225760792639%,98.84642955610697%,96.74910019737607%,0.9561975002288818s,"{'class': 'haca_box', 'method': 'complex', 'tn': 956, 'fp': 1, 'fn': 19, 'tp': 278}",haca_box_complex_20-05-2023_21-42-49.pickle,,
haca_box,fourier_real,94.82470784641069%,91.31832797427653%,97.06083390293915%,97.90804002760525%,95.44707490972574%,0.7506284713745117s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 939, 'fp': 4, 'fn': 27, 'tp': 284}",haca_box_fourier_real_20-05-2023_21-42-49.pickle,,
haca_box,fourier_zcurve,97.53846153846155%,95.77039274924472%,98.6309894212819%,98.93785727457127%,97.77685401275888%,0.7608890533447266s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 921, 'fp': 2, 'fn': 14, 'tp': 317}",haca_box_fourier_zcurve_20-05-2023_21-42-49.pickle,,
haca_box,entropy_shannon,40.274599542334094%,30.344827586206897%,50.113895216400905%,70.80821488486994%,62.11224781799971%,0.6119937896728516s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 905, 'fp': 59, 'fn': 202, 'tp': 88}",haca_box_entropy_shannon_20-05-2023_21-42-49.pickle,,
haca_box,entropy_tsallis,58.333333333333336%,50.689655172413794%,64.13612565445027%,77.47079439252337%,71.86972385176706%,0.39425206184387207s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 897, 'fp': 67, 'fn': 143, 'tp': 147}",haca_box_entropy_tsallis_20-05-2023_21-42-49.pickle,,
haca_box,complex,96.86411149825784%,95.2054794520548%,97.88732394366197%,98.57061553279047%,97.39483951812718%,0.752051591873169s,"{'class': 'haca_box', 'method': 'complex', 'tn': 958, 'fp': 4, 'fn': 14, 'tp': 278}",haca_box_complex_20-05-2023_21-42-49.pickle,,
haca_box,fourier_real,96.19377162629758%,94.5578231292517%,97.20279720279721%,98.11891970378974%,96.96641156462584%,0.6907739639282227s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 954, 'fp': 6, 'fn': 16, 'tp': 278}",haca_box_fourier_real_20-05-2023_21-42-49.pickle,,
haca_box,fourier_zcurve,96.19377162629758%,94.23728813559322%,97.40714786264893%,98.24122157405756%,96.85795585090402%,0.6737477779388428s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 954, 'fp': 5, 'fn': 17, 'tp': 278}",haca_box_fourier_zcurve_20-05-2023_21-42-49.pickle,,
haca_box,entropy_shannon,39.40149625935162%,28.93772893772894%,50.318471337579616%,72.2448101687389%,61.97141288884408%,0.3534884452819824s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 932, 'fp': 49, 'fn': 194, 'tp': 79}",haca_box_entropy_shannon_20-05-2023_21-42-49.pickle,,
haca_box,entropy_tsallis,55.51601423487544%,49.523809523809526%,59.86185725249425%,73.68421052631578%,69.91632435721893%,0.31890153884887695s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 848, 'fp': 91, 'fn': 159, 'tp': 156}",haca_box_entropy_tsallis_20-05-2023_21-42-49.pickle,,
haca_box,complex,98.15126050420169%,97.00996677740864%,98.84901828029788%,99.19111394557822%,98.40005159437064%,0.6794610023498535s,"{'class': 'haca_box', 'method': 'complex', 'tn': 951, 'fp': 2, 'fn': 9, 'tp': 292}",haca_box_complex_20-05-2023_21-42-49.pickle,,
,,,,,,,,,,"[{'method': 'complex', 'deviation': 50.86609872990064}, {'method': 'complex', 'deviation': 54.03600651417535}, {'method': 'complex', 'deviation': 54.040067439714484}, {'method': 'complex', 'deviation': 56.791262532188874}, {'method': 'complex', 'deviation': 56.80149293812619}]","[{'method': 'complex', 'deviation': 84.35543847316544}, {'method': 'complex', 'deviation': 86.23949211353231}, {'method': 'complex', 'deviation': 85.09576304898434}, {'method': 'complex', 'deviation': 86.08431912956041}, {'method': 'complex', 'deviation': 85.82434153548748}]"
