classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.35706462212487%,98.46491228070175%,98.29246935201401%,98.75976297337444%,98.81578947368422%,0.6054704189300537s,cd_box_fourier_real_15-05-2023_15-40-59.pickle
cd_box,fourier_zcurve,98.29424307036248%,97.46300211416491%,98.79982854693526%,98.93897764661985%,98.51941197966994%,0.5268504619598389s,cd_box_fourier_zcurve_15-05-2023_15-40-59.pickle
cd_box,entropy_shannon,80.08898776418243%,76.59574468085107%,82.34217749313815%,86.38560021538744%,84.65093787953758%,0.33563232421875s,cd_box_entropy_shannon_15-05-2023_15-40-59.pickle
cd_box,entropy_tsallis,79.34224049331964%,79.91718426501035%,79.00122799836268%,84.1501741085203%,84.38517305426295%,0.32308268547058105s,cd_box_entropy_tsallis_15-05-2023_15-40-59.pickle
cd_box,complex,99.8950682056663%,100.0%,99.83221476510066%,99.895178197065%,99.94680851063829%,0.5378174781799316s,cd_box_complex_15-05-2023_15-40-59.pickle
cd_box,fourier_real,98.37486457204767%,97.84482758620689%,98.69565217391305%,98.9328716509244%,98.65980875108664%,0.48839426040649414s,cd_box_fourier_real_15-05-2023_15-40-59.pickle
cd_box,fourier_zcurve,98.8108108108108%,98.70410367170626%,98.87494591086111%,99.14440905006943%,99.08972235001895%,0.5046577453613281s,cd_box_fourier_zcurve_15-05-2023_15-40-59.pickle
cd_box,entropy_shannon,80.26315789473685%,76.89075630252101%,82.43243243243244%,86.360232166261%,84.72197389594135%,0.30871081352233887s,cd_box_entropy_shannon_15-05-2023_15-40-59.pickle
cd_box,entropy_tsallis,79.2576419213974%,74.69135802469135%,82.27561196736173%,85.97197981036841%,83.74352847471127%,0.3408772945404053s,cd_box_entropy_tsallis_15-05-2023_15-40-59.pickle
cd_box,complex,99.78354978354979%,99.78354978354979%,99.78354978354979%,99.83936399030739%,99.8393639903074%,0.5543613433837891s,cd_box_complex_15-05-2023_15-40-59.pickle
cd_box,fourier_real,98.58541893362352%,97.8401727861771%,99.0380411018802%,99.15021929824562%,98.76268870158803%,0.5360708236694336s,cd_box_fourier_real_15-05-2023_15-40-59.pickle
cd_box,fourier_zcurve,98.47161572052401%,98.90350877192982%,98.21428571428572%,98.76023285428414%,98.98300438596492%,0.4974994659423828s,cd_box_fourier_zcurve_15-05-2023_15-40-59.pickle
