classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cd_box,fourier_real,98.92703862660944%,98.92703862660944%,98.92703862660946%,0.5752518177032471s,cd_box_fourier_real_14-04-2023_20-52-55.pickle
cd_box,fourier_zcurve,99.78586723768737%,99.78586723768737%,99.78586723768737%,0.42288661003112793s,cd_box_fourier_zcurve_14-04-2023_20-52-55.pickle
cd_box,entropy_shannon,88.96103896103898%,93.19727891156462%,86.5992414664981%,0.2955789566040039s,cd_box_entropy_shannon_14-04-2023_20-52-55.pickle
cd_box,entropy_tsallis,96.12244897959184%,94.95967741935483%,96.83388157894737%,0.2855496406555176s,cd_box_entropy_tsallis_14-04-2023_20-52-55.pickle
cd_box,complex,99.88826815642457%,99.77678571428571%,99.95527728085867%,0.37185215950012207s,cd_box_complex_14-04-2023_20-52-55.pickle
haca_box,fourier_real,98.3974358974359%,98.3974358974359%,98.39743589743588%,0.45851945877075195s,haca_box_fourier_real_14-04-2023_20-52-57.pickle
haca_box,fourier_zcurve,98.48739495798318%,99.65986394557824%,97.79706275033378%,0.3921773433685303s,haca_box_fourier_zcurve_14-04-2023_20-52-57.pickle
haca_box,entropy_shannon,82.6923076923077%,86.2876254180602%,80.67542213883678%,0.26622557640075684s,haca_box_entropy_shannon_14-04-2023_20-52-57.pickle
haca_box,entropy_tsallis,98.64864864864865%,97.65886287625418%,99.25220938137322%,0.2545039653778076s,haca_box_entropy_tsallis_14-04-2023_20-52-57.pickle
haca_box,complex,99.65986394557824%,99.65986394557824%,99.65986394557822%,0.38385915756225586s,haca_box_complex_14-04-2023_20-52-57.pickle
