classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,99.05956112852665%,98.75%,99.2462311557789%,99.3660457733036%,99.21474358974359%,0.5908372402191162s,cd_box_fourier_real_15-05-2023_14-14-59.pickle
cd_box,fourier_zcurve,98.66117404737382%,98.35728952772074%,98.84440775897649%,99.05428652502395%,98.90953819766015%,0.5280423164367676s,cd_box_fourier_zcurve_15-05-2023_14-14-59.pickle
cd_box,entropy_shannon,81.32596685082873%,79.3103448275862%,82.58527827648113%,86.80027908599337%,85.82113880034774%,0.31761956214904785s,cd_box_entropy_shannon_15-05-2023_14-14-59.pickle
cd_box,entropy_tsallis,79.37915742793791%,77.32181425485962%,80.66696710229833%,85.40089484102467%,84.41116945691563%,0.3219568729400635s,cd_box_entropy_tsallis_15-05-2023_14-14-59.pickle
cd_box,complex,100.0%,100.0%,100.0%,100.0%,100.0%,0.5351228713989258s,cd_box_complex_15-05-2023_14-14-59.pickle
haca_box,fourier_real,97.33333333333334%,95.42483660130719%,98.51551956815113%,98.93069727891157%,97.60693306858609%,0.5350024700164795s,haca_box_fourier_real_15-05-2023_14-15-01.pickle
haca_box,fourier_zcurve,96.71848013816926%,95.8904109589041%,97.22222222222221%,98.16001210684288%,97.58138011562669%,0.5380754470825195s,haca_box_fourier_zcurve_15-05-2023_14-15-01.pickle
haca_box,entropy_shannon,40.625%,30.536912751677853%,50.66815144766147%,70.95833333333333%,62.182682317261516%,0.29822278022766113s,haca_box_entropy_shannon_15-05-2023_14-15-01.pickle
haca_box,entropy_tsallis,57.14285714285714%,48.44290657439446%,64.04391582799634%,77.75084690507576%,71.06083152553919%,0.29215359687805176s,haca_box_entropy_tsallis_15-05-2023_14-15-01.pickle
haca_box,complex,97.2447325769854%,94.9367088607595%,98.68421052631581%,98.99443268851991%,97.41504952632857%,0.6087093353271484s,haca_box_complex_15-05-2023_14-15-01.pickle
