nameseq,k1,k2,label
LM5Cs1C1,1.9885947249052736,3.8117881449457927,real
LM5Cs1C2,1.9953610111487743,3.7656091913244754,real
LM5Cs1C3,1.9726218488396137,3.848017520506394,real
LM5Cs1C4,1.9661140916609567,3.712114798590677,real
LM14Cs1C1,1.9849572156094717,3.8838412662175967,real
LM14Cs1C2,1.9126868618217316,3.684761971293711,real
LM15Cs1C1,1.9045798894527994,3.716042598968536,real
LM18Cs1C1,1.9791077989680184,3.8558311925525013,real
LM18Cs1C2,1.9616189677942424,3.798359410392881,real
LM18Cs1C3,1.9741700268202955,3.8224686049563443,real
LM20Cs1C1,1.9884839292608376,3.892910172304497,real
LM20Cs1C2,1.9714345164688774,3.8365851550743852,real
LM20Cs1C3,1.9687891620597546,3.73073988358815,real
LM20Cs1C4,1.9907276110992354,3.921623847381073,real
LM20Cs1C5,1.9867750733384315,3.7218460818677093,real
LM22Cs1C1,1.9671904749944036,3.867590903776918,real
LM22Cs1C2,1.9872299186106908,3.920826779742217,real
LM23Cs1C1,1.9961235242142599,3.8122634207641264,real
LM23Cs1C2,1.9937547021536635,3.7352861408472684,real
LM23Cs1C3,1.997696811857739,3.8867745923473165,real
LM25Cs1C1,1.9935153526300424,3.799900407476491,real
LM25Cs1C2,1.9772320155295176,3.788546256051754,real
LM25Cs1C3,1.9618132988611638,3.5313874529371225,real
LM25Cs1C4,1.9704447539272885,3.8076613969503934,real
LM26Cs1C1,1.9951526550230074,3.9041102900885587,real
LM26Cs1C2,1.9706771123705824,3.7405591914089094,real
LM26Cs1C3,1.885401338691396,3.5182036476823173,real
LM26Cs2C1,1.98100770816365,3.7935969307642274,real
LM27Cs1C1,1.9878647060550259,3.8359849298713593,real
LM27Cs1C2,1.9933553400533257,3.8878257193948014,real
LM27Cs1C3,1.982365975990934,3.8394189657067006,real
LM30Cs1C1,1.989771512903328,3.7998062956735477,real
LM30Cs1C2,1.978610874518525,3.849173955863096,real
LM30Cs2C1,1.9849364039697073,3.819212164399238,real
LM30Cs2C2,1.9657827637391678,3.768208819833507,real
LM33Cs1C1,1.9896991355327085,3.7890998405926912,real
LM33Cs1C2,1.9939029110883801,3.897039226071465,real
LM33Cs1C3,1.9793240555438125,3.7965441660100696,real
LM33Cs1C4,1.9799609166138143,3.75052042234074,real
LM33Cs2C1,1.9101615847845066,3.7164896495675213,real
LM33Cs2C2,1.9694218977101814,3.847815997670667,real
LM33Cs3C1,1.9934380277783443,3.8262758912889647,real
LM34Cs1C1,1.9645851758461053,3.805267043939226,real
LM35Cs1C1,1.9747129944373922,3.8226547507017954,real
LM35Cs1C2,1.9819407868640977,3.8090715649821227,real
LM35Cs2C1,1.976943646498998,3.82754078258172,real
LM35Cs2C2,1.9466622211490363,3.7149015927562625,real
LM35Cs2C3,1.999216465846887,3.9506006629467896,real
LM35Cs3C1,1.9739836542612805,3.7273366121491707,real
LM35Cs3C2,1.9849364039697073,3.8383553061652433,real
LM35Cs3C3,1.9687732175420698,3.643026200277023,real
LM35Cs3C4,1.9972245210856008,3.8774249784615287,real
LM35Cs3C5,1.963942393395716,3.624755663206303,real
LM35Cs3C6,1.9787242045969324,3.907110910660966,real
LM35Cs3C7,1.9807535863985246,3.7669192378100744,real
LM36Cs1C1,1.9417709997914623,3.7265306766904924,real
LM36Cs1C2,1.9822521990623894,3.7462307978554854,real
LM36Cs1C3,1.9811875066513032,3.886268792878525,real
LM36Cs2C1,1.9946734244844722,3.743016565740099,real
LM36Cs2C2,1.9907072501966196,3.769525444052708,real
LM36Cs2C3,1.9664479555769616,3.8670579458072547,real
LM36Cs3C1,1.9549887913087154,3.7246133755445543,real
